lon,lat
-124.5,39.03
-124.5,39.12
-124.5,39.22
-124.5,39.31
-124.5,39.41
-124.5,39.51
-124.5,39.6
-124.5,39.7
-124.5,39.79
-124.5,39.89
-124.5,39.98
-124.5,40.08
-124.5,40.18
-124.5,40.27
-124.5,40.37
-124.5,40.46
-124.5,40.56
-124.5,40.66
-124.5,40.75
-124.5,40.85
-124.5,40.94
-124.5,41.04
-124.5,41.14
-124.5,41.23
-124.5,41.33
-124.5,41.42
-124.5,41.52
-124.5,41.62
-124.5,41.71
-124.5,41.81
-124.5,41.9
-124.5,42
-124.39,38.93
-124.39,39.03
-124.39,39.12
-124.39,39.22
-124.39,39.31
-124.39,39.41
-124.39,39.51
-124.39,39.6
-124.39,39.7
-124.39,39.79
-124.39,39.89
-124.39,39.98
-124.39,40.08
-124.39,40.18
-124.39,40.27
-124.39,40.37
-124.39,40.46
-124.39,40.56
-124.39,40.66
-124.39,40.75
-124.39,40.85
-124.39,40.94
-124.39,41.04
-124.39,41.14
-124.39,41.23
-124.39,41.33
-124.39,41.42
-124.39,41.52
-124.39,41.62
-124.39,41.71
-124.39,41.81
-124.39,41.9
-124.39,42
-124.29,38.83
-124.29,38.93
-124.29,39.03
-124.29,39.12
-124.29,39.22
-124.29,39.31
-124.29,39.41
-124.29,39.51
-124.29,39.6
-124.29,39.7
-124.29,39.79
-124.29,39.89
-124.29,39.98
-124.29,40.08
-124.29,40.18
-124.29,40.27
-124.29,40.37
-124.29,40.46
-124.29,40.56
-124.29,40.66
-124.29,40.75
-124.29,40.85
-124.29,40.94
-124.29,41.04
-124.29,41.14
-124.29,41.23
-124.29,41.33
-124.29,41.42
-124.29,41.52
-124.29,41.62
-124.29,41.71
-124.29,41.81
-124.29,41.9
-124.29,42
-124.18,38.74
-124.18,38.83
-124.18,38.93
-124.18,39.03
-124.18,39.12
-124.18,39.22
-124.18,39.31
-124.18,39.41
-124.18,39.51
-124.18,39.6
-124.18,39.7
-124.18,39.79
-124.18,39.89
-124.18,39.98
-124.18,40.08
-124.18,40.18
-124.18,40.27
-124.18,40.37
-124.18,40.46
-124.18,40.56
-124.18,40.66
-124.18,40.85
-124.18,40.94
-124.18,41.04
-124.18,41.14
-124.18,41.23
-124.18,41.33
-124.18,41.42
-124.18,41.52
-124.18,41.62
-124.18,41.71
-124.18,41.81
-124.18,41.9
-124.18,42
-124.08,38.64
-124.08,38.74
-124.08,38.83
-124.08,38.93
-124.08,39.03
-124.08,39.12
-124.08,39.22
-124.08,39.31
-124.08,39.41
-124.08,39.51
-124.08,39.6
-124.08,39.7
-124.08,39.79
-124.08,39.89
-124.08,39.98
-124.08,40.08
-124.08,40.18
-124.08,40.27
-124.08,40.37
-124.08,40.46
-124.08,40.56
-124.08,40.66
-124.08,40.75
-124.08,40.85
-124.08,40.94
-124.08,41.04
-124.08,41.14
-124.08,41.23
-124.08,41.33
-124.08,41.42
-124.08,41.52
-124.08,41.62
-124.08,41.71
-124.08,41.81
-124.08,41.9
-124.08,42
-123.97,38.55
-123.97,38.64
-123.97,38.74
-123.97,38.83
-123.97,38.93
-123.97,39.03
-123.97,39.12
-123.97,39.22
-123.97,39.31
-123.97,39.41
-123.97,39.51
-123.97,39.6
-123.97,39.7
-123.97,39.79
-123.97,39.89
-123.97,39.98
-123.97,40.08
-123.97,40.18
-123.97,40.27
-123.97,40.37
-123.97,40.46
-123.97,40.56
-123.97,40.66
-123.97,40.75
-123.97,40.85
-123.97,40.94
-123.97,41.04
-123.97,41.14
-123.97,41.23
-123.97,41.33
-123.97,41.42
-123.97,41.52
-123.97,41.62
-123.97,41.71
-123.97,41.81
-123.97,41.9
-123.97,42
-123.86,38.45
-123.86,38.55
-123.86,38.64
-123.86,38.74
-123.86,38.83
-123.86,38.93
-123.86,39.03
-123.86,39.12
-123.86,39.22
-123.86,39.31
-123.86,39.41
-123.86,39.51
-123.86,39.6
-123.86,39.7
-123.86,39.79
-123.86,39.89
-123.86,39.98
-123.86,40.08
-123.86,40.18
-123.86,40.27
-123.86,40.37
-123.86,40.46
-123.86,40.56
-123.86,40.66
-123.86,40.75
-123.86,40.85
-123.86,40.94
-123.86,41.04
-123.86,41.14
-123.86,41.23
-123.86,41.33
-123.86,41.42
-123.86,41.52
-123.86,41.62
-123.86,41.71
-123.86,41.81
-123.86,41.9
-123.86,42
-123.76,38.26
-123.76,38.35
-123.76,38.45
-123.76,38.55
-123.76,38.64
-123.76,38.74
-123.76,38.83
-123.76,38.93
-123.76,39.03
-123.76,39.12
-123.76,39.22
-123.76,39.31
-123.76,39.41
-123.76,39.51
-123.76,39.6
-123.76,39.7
-123.76,39.79
-123.76,39.89
-123.76,40.08
-123.76,40.18
-123.76,40.27
-123.76,40.37
-123.76,40.46
-123.76,40.56
-123.76,40.66
-123.76,40.75
-123.76,40.85
-123.76,40.94
-123.76,41.14
-123.76,41.23
-123.76,41.33
-123.76,41.42
-123.76,41.52
-123.76,41.62
-123.76,41.71
-123.76,41.81
-123.76,41.9
-123.76,42
-123.65,38.16
-123.65,38.26
-123.65,38.35
-123.65,38.45
-123.65,38.55
-123.65,38.64
-123.65,38.74
-123.65,38.83
-123.65,38.93
-123.65,39.03
-123.65,39.12
-123.65,39.22
-123.65,39.31
-123.65,39.41
-123.65,39.51
-123.65,39.6
-123.65,39.7
-123.65,39.79
-123.65,39.89
-123.65,39.98
-123.65,40.08
-123.65,40.18
-123.65,40.27
-123.65,40.37
-123.65,40.46
-123.65,40.56
-123.65,40.66
-123.65,40.75
-123.65,40.85
-123.65,40.94
-123.65,41.04
-123.65,41.14
-123.65,41.23
-123.65,41.33
-123.65,41.42
-123.65,41.52
-123.65,41.62
-123.65,41.71
-123.65,41.81
-123.65,41.9
-123.65,42
-123.55,38.07
-123.55,38.16
-123.55,38.26
-123.55,38.35
-123.55,38.45
-123.55,38.55
-123.55,38.64
-123.55,38.74
-123.55,38.83
-123.55,38.93
-123.55,39.03
-123.55,39.12
-123.55,39.22
-123.55,39.31
-123.55,39.41
-123.55,39.51
-123.55,39.6
-123.55,39.7
-123.55,39.79
-123.55,39.89
-123.55,39.98
-123.55,40.08
-123.55,40.18
-123.55,40.37
-123.55,40.46
-123.55,40.56
-123.55,40.66
-123.55,40.75
-123.55,40.85
-123.55,40.94
-123.55,41.04
-123.55,41.14
-123.55,41.23
-123.55,41.33
-123.55,41.42
-123.55,41.52
-123.55,41.62
-123.55,41.71
-123.55,41.81
-123.55,41.9
-123.55,42
-123.44,37.97
-123.44,38.07
-123.44,38.26
-123.44,38.35
-123.44,38.45
-123.44,38.55
-123.44,38.64
-123.44,38.74
-123.44,38.83
-123.44,38.93
-123.44,39.03
-123.44,39.12
-123.44,39.22
-123.44,39.31
-123.44,39.41
-123.44,39.51
-123.44,39.6
-123.44,39.7
-123.44,39.79
-123.44,39.89
-123.44,39.98
-123.44,40.08
-123.44,40.18
-123.44,40.27
-123.44,40.37
-123.44,40.46
-123.44,40.56
-123.44,40.66
-123.44,40.75
-123.44,40.85
-123.44,40.94
-123.44,41.04
-123.44,41.14
-123.44,41.23
-123.44,41.33
-123.44,41.42
-123.44,41.52
-123.44,41.62
-123.44,41.71
-123.44,41.81
-123.44,41.9
-123.44,42
-123.33,37.87
-123.33,37.97
-123.33,38.07
-123.33,38.16
-123.33,38.26
-123.33,38.35
-123.33,38.45
-123.33,38.55
-123.33,38.64
-123.33,38.74
-123.33,38.83
-123.33,38.93
-123.33,39.03
-123.33,39.12
-123.33,39.22
-123.33,39.31
-123.33,39.41
-123.33,39.51
-123.33,39.6
-123.33,39.7
-123.33,39.79
-123.33,39.89
-123.33,39.98
-123.33,40.08
-123.33,40.18
-123.33,40.27
-123.33,40.37
-123.33,40.46
-123.33,40.56
-123.33,40.66
-123.33,40.85
-123.33,40.94
-123.33,41.04
-123.33,41.14
-123.33,41.23
-123.33,41.33
-123.33,41.42
-123.33,41.52
-123.33,41.62
-123.33,41.71
-123.33,41.81
-123.33,41.9
-123.33,42
-123.23,37.78
-123.23,37.87
-123.23,37.97
-123.23,38.07
-123.23,38.16
-123.23,38.26
-123.23,38.35
-123.23,38.45
-123.23,38.55
-123.23,38.64
-123.23,38.74
-123.23,38.83
-123.23,38.93
-123.23,39.03
-123.23,39.12
-123.23,39.22
-123.23,39.31
-123.23,39.41
-123.23,39.51
-123.23,39.6
-123.23,39.7
-123.23,39.79
-123.23,39.89
-123.23,39.98
-123.23,40.08
-123.23,40.18
-123.23,40.27
-123.23,40.37
-123.23,40.46
-123.23,40.56
-123.23,40.66
-123.23,40.75
-123.23,40.85
-123.23,40.94
-123.23,41.04
-123.23,41.14
-123.23,41.23
-123.23,41.33
-123.23,41.42
-123.23,41.52
-123.23,41.62
-123.23,41.71
-123.23,41.81
-123.23,42
-123.12,37.68
-123.12,37.78
-123.12,37.87
-123.12,37.97
-123.12,38.07
-123.12,38.16
-123.12,38.26
-123.12,38.35
-123.12,38.55
-123.12,38.64
-123.12,38.74
-123.12,38.83
-123.12,38.93
-123.12,39.03
-123.12,39.12
-123.12,39.22
-123.12,39.31
-123.12,39.41
-123.12,39.51
-123.12,39.6
-123.12,39.7
-123.12,39.89
-123.12,39.98
-123.12,40.08
-123.12,40.18
-123.12,40.27
-123.12,40.37
-123.12,40.46
-123.12,40.56
-123.12,40.66
-123.12,40.75
-123.12,40.85
-123.12,40.94
-123.12,41.04
-123.12,41.14
-123.12,41.23
-123.12,41.33
-123.12,41.42
-123.12,41.52
-123.12,41.62
-123.12,41.71
-123.12,41.81
-123.12,41.9
-123.12,42
-123.02,37.59
-123.02,37.68
-123.02,37.78
-123.02,37.87
-123.02,37.97
-123.02,38.07
-123.02,38.16
-123.02,38.26
-123.02,38.35
-123.02,38.45
-123.02,38.55
-123.02,38.64
-123.02,38.74
-123.02,38.83
-123.02,39.03
-123.02,39.12
-123.02,39.22
-123.02,39.41
-123.02,39.51
-123.02,39.6
-123.02,39.7
-123.02,39.79
-123.02,39.89
-123.02,39.98
-123.02,40.08
-123.02,40.18
-123.02,40.27
-123.02,40.37
-123.02,40.56
-123.02,40.66
-123.02,40.75
-123.02,40.85
-123.02,40.94
-123.02,41.04
-123.02,41.14
-123.02,41.23
-123.02,41.33
-123.02,41.52
-123.02,41.62
-123.02,41.71
-123.02,41.81
-123.02,42
-122.91,37.49
-122.91,37.59
-122.91,37.68
-122.91,37.78
-122.91,37.87
-122.91,37.97
-122.91,38.07
-122.91,38.16
-122.91,38.26
-122.91,38.35
-122.91,38.45
-122.91,38.55
-122.91,38.64
-122.91,38.74
-122.91,38.83
-122.91,38.93
-122.91,39.03
-122.91,39.12
-122.91,39.22
-122.91,39.31
-122.91,39.41
-122.91,39.51
-122.91,39.6
-122.91,39.7
-122.91,39.79
-122.91,39.89
-122.91,39.98
-122.91,40.08
-122.91,40.18
-122.91,40.27
-122.91,40.37
-122.91,40.46
-122.91,40.56
-122.91,40.66
-122.91,40.75
-122.91,40.85
-122.91,40.94
-122.91,41.04
-122.91,41.14
-122.91,41.23
-122.91,41.33
-122.91,41.42
-122.91,41.52
-122.91,41.62
-122.91,41.71
-122.91,41.81
-122.91,41.9
-122.91,42
-122.8,37.39
-122.8,37.49
-122.8,37.59
-122.8,37.68
-122.8,37.78
-122.8,37.87
-122.8,37.97
-122.8,38.07
-122.8,38.16
-122.8,38.26
-122.8,38.35
-122.8,38.45
-122.8,38.55
-122.8,38.64
-122.8,38.74
-122.8,38.83
-122.8,38.93
-122.8,39.03
-122.8,39.12
-122.8,39.22
-122.8,39.31
-122.8,39.41
-122.8,39.51
-122.8,39.6
-122.8,39.7
-122.8,39.79
-122.8,39.89
-122.8,39.98
-122.8,40.08
-122.8,40.18
-122.8,40.27
-122.8,40.37
-122.8,40.46
-122.8,40.56
-122.8,40.66
-122.8,40.75
-122.8,40.85
-122.8,40.94
-122.8,41.04
-122.8,41.14
-122.8,41.23
-122.8,41.33
-122.8,41.42
-122.8,41.52
-122.8,41.62
-122.8,41.71
-122.8,41.81
-122.8,41.9
-122.8,42
-122.7,37.2
-122.7,37.3
-122.7,37.39
-122.7,37.49
-122.7,37.59
-122.7,37.68
-122.7,37.78
-122.7,37.87
-122.7,37.97
-122.7,38.07
-122.7,38.16
-122.7,38.26
-122.7,38.35
-122.7,38.45
-122.7,38.55
-122.7,38.64
-122.7,38.74
-122.7,38.83
-122.7,38.93
-122.7,39.03
-122.7,39.12
-122.7,39.22
-122.7,39.31
-122.7,39.41
-122.7,39.51
-122.7,39.6
-122.7,39.7
-122.7,39.79
-122.7,39.89
-122.7,39.98
-122.7,40.08
-122.7,40.18
-122.7,40.27
-122.7,40.37
-122.7,40.46
-122.7,40.56
-122.7,40.66
-122.7,40.75
-122.7,40.85
-122.7,41.04
-122.7,41.14
-122.7,41.23
-122.7,41.33
-122.7,41.42
-122.7,41.52
-122.7,41.62
-122.7,41.71
-122.7,41.81
-122.7,41.9
-122.7,42
-122.59,37.11
-122.59,37.2
-122.59,37.3
-122.59,37.39
-122.59,37.49
-122.59,37.59
-122.59,37.68
-122.59,37.78
-122.59,37.87
-122.59,37.97
-122.59,38.07
-122.59,38.16
-122.59,38.26
-122.59,38.45
-122.59,38.55
-122.59,38.64
-122.59,38.74
-122.59,38.83
-122.59,38.93
-122.59,39.03
-122.59,39.12
-122.59,39.22
-122.59,39.31
-122.59,39.41
-122.59,39.51
-122.59,39.6
-122.59,39.7
-122.59,39.79
-122.59,39.89
-122.59,39.98
-122.59,40.18
-122.59,40.27
-122.59,40.37
-122.59,40.46
-122.59,40.56
-122.59,40.66
-122.59,40.75
-122.59,40.85
-122.59,40.94
-122.59,41.04
-122.59,41.14
-122.59,41.23
-122.59,41.33
-122.59,41.42
-122.59,41.52
-122.59,41.62
-122.59,41.71
-122.59,41.81
-122.59,41.9
-122.59,42
-122.48,37.01
-122.48,37.11
-122.48,37.2
-122.48,37.3
-122.48,37.39
-122.48,37.49
-122.48,37.59
-122.48,37.68
-122.48,37.78
-122.48,37.87
-122.48,37.97
-122.48,38.07
-122.48,38.16
-122.48,38.26
-122.48,38.35
-122.48,38.45
-122.48,38.55
-122.48,38.64
-122.48,38.74
-122.48,38.83
-122.48,38.93
-122.48,39.03
-122.48,39.12
-122.48,39.22
-122.48,39.31
-122.48,39.41
-122.48,39.51
-122.48,39.6
-122.48,39.7
-122.48,39.79
-122.48,39.89
-122.48,39.98
-122.48,40.08
-122.48,40.18
-122.48,40.27
-122.48,40.37
-122.48,40.46
-122.48,40.56
-122.48,40.66
-122.48,40.75
-122.48,40.85
-122.48,40.94
-122.48,41.04
-122.48,41.14
-122.48,41.23
-122.48,41.33
-122.48,41.42
-122.48,41.52
-122.48,41.62
-122.48,41.71
-122.48,41.81
-122.48,41.9
-122.48,42
-122.38,36.91
-122.38,37.01
-122.38,37.11
-122.38,37.2
-122.38,37.3
-122.38,37.39
-122.38,37.49
-122.38,37.59
-122.38,37.68
-122.38,37.78
-122.38,37.87
-122.38,37.97
-122.38,38.07
-122.38,38.16
-122.38,38.26
-122.38,38.35
-122.38,38.45
-122.38,38.55
-122.38,38.64
-122.38,38.74
-122.38,38.83
-122.38,38.93
-122.38,39.12
-122.38,39.22
-122.38,39.31
-122.38,39.41
-122.38,39.51
-122.38,39.6
-122.38,39.7
-122.38,39.79
-122.38,39.89
-122.38,39.98
-122.38,40.08
-122.38,40.18
-122.38,40.27
-122.38,40.37
-122.38,40.46
-122.38,40.56
-122.38,40.66
-122.38,40.75
-122.38,40.85
-122.38,40.94
-122.38,41.04
-122.38,41.14
-122.38,41.23
-122.38,41.33
-122.38,41.42
-122.38,41.52
-122.38,41.62
-122.38,41.71
-122.38,41.81
-122.38,41.9
-122.27,36.82
-122.27,36.91
-122.27,37.01
-122.27,37.11
-122.27,37.2
-122.27,37.3
-122.27,37.39
-122.27,37.49
-122.27,37.59
-122.27,37.68
-122.27,37.78
-122.27,37.87
-122.27,37.97
-122.27,38.07
-122.27,38.16
-122.27,38.26
-122.27,38.35
-122.27,38.45
-122.27,38.55
-122.27,38.64
-122.27,38.74
-122.27,38.83
-122.27,38.93
-122.27,39.03
-122.27,39.12
-122.27,39.22
-122.27,39.31
-122.27,39.41
-122.27,39.51
-122.27,39.6
-122.27,39.7
