NASA Surface meteorology and Solar Energy: Daily Averaged Data
Dates (month/day/year): 01/01/1988 through 12/31/2004
Location: Latitude 34   Longitude -121
Elevation (meters): Average for one degree lat/lon region = 204   Site = na
Climate zone: 3 (reference Briggs et al, http://www.energycodes.gov)
Parameter(s):
swv_dwn     Average Insolation Incident On A Horizontal Surface (kWh/m^2/day) 

YEAR MO DY swv_dwn
1988 01 01    1.92
1988 01 02    1.97
1988 01 03    1.15
1988 01 04    0.80
1988 01 05    2.80
1988 01 06    3.38
1988 01 07    3.43
1988 01 08    3.06
1988 01 09    3.18
1988 01 10    2.82
1988 01 11    3.32
1988 01 12    3.50
1988 01 13    3.59
1988 01 14    2.49
1988 01 15    1.35
1988 01 16    2.60
1988 01 17    1.04
1988 01 18    3.11
1988 01 19    3.71
1988 01 20    3.55
1988 01 21    3.87
1988 01 22    3.86
1988 01 23    3.94
1988 01 24    4.10
1988 01 25    3.81
1988 01 26    2.86
1988 01 27    3.86
1988 01 28    2.81
1988 01 29    1.39
1988 01 30    3.89
1988 01 31    3.91
1988 02 01    3.68
1988 02 02    4.14
1988 02 03    4.50
1988 02 04    4.40
1988 02 05    4.50
1988 02 06    4.61
1988 02 07    4.63
1988 02 08    4.58
1988 02 09    4.71
1988 02 10    4.86
1988 02 11    4.90
1988 02 12    4.98
1988 02 13    4.86
1988 02 14    5.00
1988 02 15    5.08
1988 02 16    5.23
1988 02 17    5.34
1988 02 18    5.18
1988 02 19    5.32
1988 02 20    4.61
1988 02 21    4.64
1988 02 22    4.37
1988 02 23    2.53
1988 02 24    4.73
1988 02 25    4.46
1988 02 26    3.88
1988 02 27    3.18
1988 02 28    5.12
1988 02 29    3.38
1988 03 01    3.33
1988 03 02    5.52
1988 03 03    4.93
1988 03 04    5.29
1988 03 05    4.99
1988 03 06    5.12
1988 03 07    5.97
1988 03 08    5.81
1988 03 09    5.94
1988 03 10    6.14
1988 03 11    6.08
1988 03 12    6.16
1988 03 13    6.11
1988 03 14    6.17
1988 03 15    3.80
1988 03 16    5.39
1988 03 17    6.34
1988 03 18    6.26
1988 03 19    6.54
1988 03 20    6.50
1988 03 21    6.29
1988 03 22    6.20
1988 03 23    6.49
1988 03 24    6.64
1988 03 25    6.88
1988 03 26    7.07
1988 03 27    7.03
1988 03 28    7.15
1988 03 29    6.88
1988 03 30    6.86
1988 03 31    6.78
1988 04 01    6.92
1988 04 02    6.83
1988 04 03    5.38
1988 04 04    6.96
1988 04 05    6.94
1988 04 06    6.27
1988 04 07    5.99
1988 04 08    7.49
1988 04 09    7.58
1988 04 10    5.83
1988 04 11    4.84
1988 04 12    5.04
1988 04 13    6.27
1988 04 14    4.59
1988 04 15    2.55
1988 04 16    4.22
1988 04 17    7.17
1988 04 18    6.42
1988 04 19    1.68
1988 04 20    6.70
1988 04 21    5.55
1988 04 22    6.17
1988 04 23    7.57
1988 04 24    8.00
1988 04 25    8.17
1988 04 26    6.52
1988 04 27    3.60
1988 04 28    6.85
1988 04 29    7.79
1988 04 30    7.91
1988 05 01    8.30
1988 05 02    8.10
1988 05 03    7.92
1988 05 04    7.80
1988 05 05    5.41
1988 05 06    7.61
1988 05 07    6.53
1988 05 08    8.14
1988 05 09    8.52
1988 05 10    8.47
1988 05 11    8.55
1988 05 12    8.27
1988 05 13    8.65
1988 05 14    8.64
1988 05 15    6.14
1988 05 16    5.07
1988 05 17    8.55
1988 05 18    8.46
1988 05 19    8.64
1988 05 20    8.86
1988 05 21    6.11
1988 05 22    6.07
1988 05 23    7.82
1988 05 24    6.07
1988 05 25    6.15
1988 05 26    8.00
1988 05 27    8.01
1988 05 28    6.66
1988 05 29    8.62
1988 05 30    8.62
1988 05 31    7.32
1988 06 01    5.94
1988 06 02    8.13
1988 06 03    8.19
1988 06 04    8.77
1988 06 05    8.94
1988 06 06    7.97
1988 06 07    8.32
1988 06 08    8.63
1988 06 09    8.44
1988 06 10    8.31
1988 06 11    6.94
1988 06 12    7.98
1988 06 13    5.40
1988 06 14    4.01
1988 06 15    4.57
1988 06 16    5.64
1988 06 17    5.69
1988 06 18    6.86
1988 06 19    5.81
1988 06 20    3.49
1988 06 21    6.09
1988 06 22    4.86
1988 06 23    3.48
1988 06 24    4.76
1988 06 25    5.98
1988 06 26    8.55
1988 06 27    8.40
1988 06 28    8.51
1988 06 29    8.54
1988 06 30    7.87
1988 07 01    5.26
1988 07 02    4.45
1988 07 03    3.81
1988 07 04    7.34
1988 07 05    8.82
1988 07 06    8.41
1988 07 07    5.02
1988 07 08    3.76
1988 07 09    4.33
1988 07 10    4.48
1988 07 11    5.05
1988 07 12    5.58
1988 07 13    5.47
1988 07 14    7.41
1988 07 15    8.62
1988 07 16    8.45
1988 07 17    5.21
1988 07 18    3.79
1988 07 19    4.34
1988 07 20    6.01
1988 07 21    5.76
1988 07 22    4.61
1988 07 23    4.34
1988 07 24    4.42
1988 07 25    4.37
1988 07 26    4.12
1988 07 27    4.55
1988 07 28    5.66
1988 07 29    5.03
1988 07 30    4.79
1988 07 31    4.66
1988 08 01    3.69
1988 08 02    5.35
1988 08 03    6.73
1988 08 04    7.52
1988 08 05    7.32
1988 08 06    7.98
1988 08 07    6.01
1988 08 08    4.17
1988 08 09    4.27
1988 08 10    4.17
1988 08 11    4.05
1988 08 12    5.06
1988 08 13    7.56
1988 08 14    7.07
1988 08 15    6.62
1988 08 16    4.37
1988 08 17    5.62
1988 08 18    7.14
1988 08 19    4.86
1988 08 20    5.08
1988 08 21    6.22
1988 08 22    7.59
1988 08 23    7.34
1988 08 24    7.00
1988 08 25    5.88
1988 08 26    7.19
1988 08 27    5.30
1988 08 28    4.28
1988 08 29    4.37
1988 08 30    3.89
1988 08 31    3.75
1988 09 01    4.00
1988 09 02    5.35
1988 09 03    6.35
1988 09 04    5.64
1988 09 05    4.56
1988 09 06    4.73
1988 09 07    4.08
1988 09 08    3.82
1988 09 09    4.68
1988 09 10    5.93
1988 09 11    4.01
1988 09 12    4.12
1988 09 13    6.52
1988 09 14    4.62
1988 09 15    5.01
1988 09 16    4.94
1988 09 17    4.17
1988 09 18    4.99
1988 09 19    3.86
1988 09 20    4.88
1988 09 21    5.42
1988 09 22    6.30
1988 09 23    4.24
1988 09 24    5.08
1988 09 25    5.29
1988 09 26    5.42
1988 09 27    6.08
1988 09 28    5.42
1988 09 29    5.73
1988 09 30    5.66
1988 10 01    1.85
1988 10 02    4.23
1988 10 03    2.47
1988 10 04    2.76
1988 10 05    3.26
1988 10 06    3.24
1988 10 07    3.85
1988 10 08    5.49
1988 10 09    5.65
1988 10 10    5.50
1988 10 11    3.86
1988 10 12    1.50
1988 10 13    1.98
1988 10 14    5.20
1988 10 15    5.29
1988 10 16    5.29
1988 10 17    4.60
1988 10 18    3.22
1988 10 19    2.45
1988 10 20    1.92
1988 10 21    2.25
1988 10 22    2.75
1988 10 23    3.40
1988 10 24    2.94
1988 10 25    1.58
1988 10 26    1.04
1988 10 27    1.55
1988 10 28    1.61
1988 10 29    3.97
1988 10 30    4.21
1988 10 31    2.77
1988 11 01    2.11
1988 11 02    3.07
1988 11 03    4.15
1988 11 04    4.21
1988 11 05    4.22
1988 11 06    4.25
1988 11 07    2.76
1988 11 08    3.42
1988 11 09    3.68
1988 11 10    2.06
1988 11 11    3.85
1988 11 12    3.95
1988 11 13    1.66
1988 11 14    3.77
1988 11 15    3.82
1988 11 16    3.49
1988 11 17    3.87
1988 11 18    3.93
1988 11 19    3.33
1988 11 20    3.69
1988 11 21    3.66
1988 11 22    2.79
1988 11 23    1.74
1988 11 24    2.94
1988 11 25    2.63
1988 11 26    3.55
1988 11 27    3.63
1988 11 28    3.49
1988 11 29    3.62
1988 11 30    3.55
1988 12 01    3.68
1988 12 02    3.12
1988 12 03    3.53
1988 12 04    3.39
1988 12 05    3.44
1988 12 06    2.82
1988 12 07    3.57
1988 12 08    3.55
1988 12 09    3.50
1988 12 10    3.44
1988 12 11    3.44
1988 12 12    3.50
1988 12 13    2.26
1988 12 14    1.43
1988 12 15    1.71
1988 12 16    1.16
1988 12 17    2.13
1988 12 18    3.25
1988 12 19    1.55
1988 12 20    1.36
1988 12 21    3.26
1988 12 22    0.90
1988 12 23    3.25
1988 12 24    0.79
1988 12 25    1.83
1988 12 26    3.26
1988 12 27    2.46
1988 12 28    3.06
1988 12 29    3.18
1988 12 30    3.11
1988 12 31    3.29
1989 01 01    3.20
1989 01 02    3.29
1989 01 03    3.21
1989 01 04    3.52
1989 01 05    1.30
1989 01 06    3.16
1989 01 07    3.05
1989 01 08    2.95
1989 01 09    3.10
1989 01 10    3.32
1989 01 11    3.84
1989 01 12    3.73
1989 01 13    3.25
1989 01 14    3.43
1989 01 15    3.71
1989 01 16    3.55
